,Stromal/Connective,Fibroblasts,Macrophages/Histocytes,Synovial Lining Cell,Vascular Endothelial Cell,Plasma Cell,Lymphocytes
0,95,2,0,0,6,1,6
1,8,27,0,0,2,0,1
2,2,0,35,0,0,0,1
3,3,0,0,57,1,0,1
4,9,0,0,0,81,2,5
5,2,0,1,0,3,50,15
6,3,0,0,0,1,3,161
