,Stromal/Connective,Fibroblasts,Macrophages/Histocytes,Synovial Lining Cell,Vascular Endothelial Cell,Plasma Cell,Lymphocytes
0,93,4,3,3,8,0,2
1,6,32,0,0,4,0,0
2,1,0,35,0,2,0,1
3,5,1,1,56,1,0,3
4,5,2,0,0,86,0,3
5,2,0,0,1,0,44,12
6,4,0,1,0,2,5,155
