,Stromal/Connective,Fibroblasts,Macrophages/Histocytes,Synovial Lining Cell,Vascular Endothelial Cell,Plasma Cell,Lymphocytes
0,92,4,2,1,13,1,6
1,5,27,1,0,2,1,1
2,4,0,43,2,1,0,1
3,0,2,0,53,1,0,0
4,9,1,1,0,69,0,2
5,3,0,0,0,2,48,12
6,4,0,0,0,5,4,161
