,Stromal/Connective,Fibroblasts,Macrophages/Histocytes,Synovial Lining Cell,Vascular Endothelial Cell,Plasma Cell,Lymphocytes
0,104,1,1,5,6,1,7
1,4,30,0,0,1,0,0
2,1,0,36,0,0,0,2
3,2,0,0,53,1,1,1
4,8,0,0,0,97,0,1
5,1,0,2,0,2,46,11
6,1,0,0,1,5,4,147
